name,image,parentsName,level
Thuốc không kê đơn,https://data-service.pharmacity.io/pmc-upload-media/production/pmc-ecm-core/category-icons/Thu%E1%BB%91c_ko_k%C3%AA_%C4%91%C6%A1n.png,duoc-pham,2
Thuốc kháng dị ứng,,thuoc-khong-ke-don,3
Thuốc kháng viêm,,thuoc-khong-ke-don,3
Thuốc ngừa thai,,thuoc-khong-ke-don,3
Thuốc cảm lạnh,,thuoc-khong-ke-don,3
Thuốc da liễu,,thuoc-khong-ke-don,3
Thuốc giảm cân,,thuoc-khong-ke-don,3
Thuốc Mắt/Tai/Mũi,,thuoc-khong-ke-don,3
Thuốc tiêu hóa,,thuoc-khong-ke-don,3
Thuốc dành cho nam,,thuoc-khong-ke-don,3
"Giảm đau, hạ sốt",,thuoc-khong-ke-don,3
Thuốc dành cho phụ nữ,,thuoc-khong-ke-don,3
Thuốc thần kinh,,thuoc-khong-ke-don,3
Thuốc cơ xương khớp,,thuoc-khong-ke-don,3
Vitamin & Khoáng chất,,thuoc-khong-ke-don,3
"Dầu gió, dầu cù là ...",,thuoc-khong-ke-don,3
Thuốc khác,,thuoc-khong-ke-don,3
Thuốc kê đơn,https://data-service.pharmacity.io/pmc-upload-media/production/pmc-ecm-core/category-icons/P00218_Rx_Da_li%E1%BB%85u.png,duoc-pham,2
RX Sản phẩm khác,,thuoc-ke-don,3
RX Kháng dị ứng,,thuoc-ke-don,3
Rx Thuốc tiểu đường,,thuoc-ke-don,3
Rx Thuốc kháng viêm,,thuoc-ke-don,3
Rx Thuốc kháng sinh,,thuoc-ke-don,3
"Rx Thuốc tim mạch, huyết áp",,thuoc-ke-don,3
Rx Thuốc ngừa thai,,thuoc-ke-don,3
"Rx Thuốc cảm lạnh, ho",,thuoc-ke-don,3
Rx Thuốc da liễu,,thuoc-ke-don,3
Rx Thuốc Mắt/Tai/Mũi,,thuoc-ke-don,3
Rx Thuốc tiêu hóa,,thuoc-ke-don,3
Rx Thuốc cho nam giới,,thuoc-ke-don,3
"Rx Thuốc giảm đau, hạ sốt",,thuoc-ke-don,3
Rx Thuốc dành cho nữ,,thuoc-ke-don,3
Rx Thuốc thần kinh,,thuoc-ke-don,3
Rx Thuốc cơ xương khớp,,thuoc-ke-don,3
Rx Vitamin & Khoáng chất,,thuoc-ke-don,3
Rx Hệ hô hấp,,thuoc-ke-don,3
Rx Thuốc khác,,thuoc-ke-don,3
Chăm sóc em bé,https://data-service.pharmacity.io/pmc-upload-media/production/pmc-ecm-core/category-icons/photo_2021-08-23_21-10-35_8080.png,me-va-be,2
Phụ kiện cho bé,,cham-soc-em-be,3
Kem & dầu dưỡng cho bé,,cham-soc-em-be,3
Phấn rôm,,cham-soc-em-be,3
Đồ dùng phòng tắm cho bé,,cham-soc-em-be,3
Dầu gội cho bé,,cham-soc-em-be,3
Tã cho bé,,cham-soc-em-be,3
Sản phẩm chống muỗi cho bé,,cham-soc-em-be,3
Khăn ướt cho bé,,cham-soc-em-be,3
Sản phẩm chăm sóc sức khoẻ cho bé,,cham-soc-em-be,3
Thực phẩm dành cho bé,,cham-soc-em-be,3
 Sữa dành cho bé,,cham-soc-em-be,3
